ProjectId,TaskId,TaskName,Status,ProjectName,PhaseId,Phase,Assignee,Priority,StartDate,DueDate,HoursTracked,Is this a Billing Milestone?,Invoice Raised?,% of amount to be billed,Dependency,ParentTaskId,ParentTask,AtRisk,Progress,ActualStartDate,CompletedAt,RemainingHours,Effort(hrs),Billable,Category
PRJ-716,TSK-7161,Kickoff,Completed,Customer 16 - Phase 1 Implementation,PHS-716,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-716,TSK-7162,Go-Live,Completed,Customer 16 - Phase 1 Implementation,PHS-716,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-717,TSK-7171,Kickoff,Completed,Customer 17 - Phase 1 Implementation,PHS-717,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-717,TSK-7172,Go-Live,Completed,Customer 17 - Phase 1 Implementation,PHS-717,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-718,TSK-7181,Kickoff,Completed,Customer 18 - Phase 1 Implementation,PHS-718,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-718,TSK-7182,Go-Live,Completed,Customer 18 - Phase 1 Implementation,PHS-718,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-719,TSK-7191,Kickoff,Completed,Customer 19 - Phase 1 Implementation,PHS-719,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-719,TSK-7192,Go-Live,Completed,Customer 19 - Phase 1 Implementation,PHS-719,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-720,TSK-7201,Kickoff,Completed,Customer 20 - Phase 1 Implementation,PHS-720,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-720,TSK-7202,Go-Live,Completed,Customer 20 - Phase 1 Implementation,PHS-720,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-721,TSK-7211,Kickoff,Completed,Customer 21 - Enterprise Rollout,PHS-721,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-721,TSK-7212,Build,Completed,Customer 21 - Enterprise Rollout,PHS-721,Delivery,,,2026-07-01,2026-07-15,6.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-721,TSK-7213,Go-Live,To do,Customer 21 - Enterprise Rollout,PHS-721,Delivery,,,2026-07-01,2026-07-15,2.00,true,,,Build,,,,,,,0.00,,true,
PRJ-722,TSK-7221,Build,In progress,Customer 22 - Enterprise Rollout,PHS-722,Delivery,,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-722,TSK-7222,Go-Live,To do,Customer 22 - Enterprise Rollout,PHS-722,Delivery,,,2026-07-01,2026-07-15,2.00,true,,,Build,,,,,,,0.00,,true,
PRJ-723,TSK-7231,Build,Blocked,Customer 23 - Enterprise Rollout,PHS-723,Delivery,,,2026-07-01,2026-07-15,3.00,,,,,,,,,,,0.00,,true,
PRJ-723,TSK-7232,Go-Live,To do,Customer 23 - Enterprise Rollout,PHS-723,Delivery,,,2026-07-01,2026-07-15,2.00,true,,,Build,,,,,,,0.00,,true,
PRJ-724,TSK-7241,Go-Live,To do,Customer 24 - Enterprise Rollout,PHS-724,Delivery,,,2026-07-01,2026-07-15,2.00,true,,,,,,,,,,0.00,,true,
PRJ-724,TSK-7242,Optional,NA,Customer 24 - Enterprise Rollout,PHS-724,Delivery,,,2026-07-01,2026-07-15,0.00,,,,,TSK-7241,Go-Live,,,,,0.00,,true,
PRJ-724,TSK-7243,Docs,To do,Customer 24 - Enterprise Rollout,PHS-724,Delivery,,,2026-07-01,2026-07-15,1.00,,,,,TSK-7241,Go-Live,,,,,0.00,,true,
PRJ-725,TSK-7251,Kickoff,Completed,Customer 25 - Enterprise Rollout,PHS-725,Delivery,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-725,TSK-7252,Go-Live,Completed,Customer 25 - Enterprise Rollout,PHS-725,Delivery,,,2026-07-01,2026-07-15,8.00,true,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
